"","kudos_count","kilojoules","average_heartrate","energy_per_hr"
"423",4,2023.7,147.2,13.7479619565217
"424",0,132.9,143,0.929370629370629
"425",0,1814.6,119.2,15.2231543624161
"426",3,1265.7,143.5,8.82020905923345
"427",54,561.6,144.3,3.89189189189189
"428",0,982.3,156.8,6.26466836734694
"429",1,2165.1,114.6,18.8926701570681
"430",0,1172.4,147,7.97551020408163
"431",0,898.7,147.7,6.08463100880163
"432",2,306.4,163.9,1.86943258084198
"433",0,1099.9,159.2,6.90891959798995
"434",5,3898.9,127.2,30.6517295597484
"435",0,773.3,146.4,5.28210382513661
"436",0,303.2,135.6,2.23598820058997
"437",0,344.1,116.4,2.95618556701031
"438",14,112.8,122.3,0.922322158626329
"439",42,447.5,125.7,3.56006364359586
"440",0,1458.1,147.3,9.89884589273591
"441",0,216.3,140,1.545
"442",0,524.4,108,4.85555555555556
"443",0,1045.2,137.8,7.58490566037736
"444",31,631.2,149.1,4.23340040241449
"445",0,1.6,65.8,0.0243161094224924
"446",0,523.4,119.3,4.3872590108969
"447",0,344.8,140,2.46285714285714
"448",6,289.5,161.9,1.7881408276714
"449",5,1856.4,145.8,12.7325102880658
"450",2,786,114.9,6.84073107049608
"451",0,4663.5,135.8,34.340942562592
"452",3,1794,147.3,12.1792260692464
"453",0,5,72,0.0694444444444444
"454",5,1135,155.1,7.31785944551902
"455",2,1112.7,136.9,8.12783053323594
"456",0,615.6,132.3,4.6530612244898
"457",6,930,137.7,6.75381263616558
"458",9,952.7,159,5.99182389937107
"459",0,185.3,177.9,1.0415964024733
"460",30,1540.7,117.5,13.1123404255319
"461",2,852.5,158.3,5.38534428300695
"462",0,363.7,120.8,3.01076158940397
"463",5,987.1,141.1,6.99574769666903
"464",0,1609.4,121.2,13.2788778877888
"465",0,769,144.7,5.31444367657222
"466",6,2257.6,144.8,15.5911602209945
"467",11,708,137.4,5.1528384279476
"468",4,86.3,103.7,0.832208293153327
"469",0,1668.6,131.6,12.6793313069909
"470",7,1152.7,135.3,8.51958610495196
"471",4,369.6,146.1,2.52977412731006
"472",4,535.7,161.7,3.31292517006803
"473",3,1468.7,134.3,10.9359642591214
"474",1,251.1,121.4,2.06836902800659
"475",6,1685.4,134.3,12.5495160089352
"476",17,3470.7,134.8,25.7470326409496
"477",13,485.5,131.4,3.69482496194825
"478",0,1296.6,147.2,8.80842391304348
"479",2,10.4,117.8,0.0882852292020374
"480",16,293.4,136,2.15735294117647
"481",12,957.7,126.5,7.57075098814229
"482",0,1770.5,131.6,13.4536474164134
"483",0,1178.1,168.8,6.9792654028436
"484",13,1569.1,136.3,11.512105649303
"485",0,640.5,129.3,4.95359628770302
"486",8,950,139.4,6.81492109038737
"487",5,391.8,54.3,7.21546961325967
"488",0,191.6,129.7,1.47725520431766
"489",10,606.6,151.6,4.00131926121372
"490",8,1325.5,126.4,10.4865506329114
"491",6,504.4,154.5,3.26472491909385
"492",0,2402.3,135.6,17.7160766961652
"493",0,1063.3,120.3,8.83873649210308
"494",5,804.9,133.8,6.01569506726457
"495",0,325.9,146,2.23219178082192
"496",3,667,145.5,4.58419243986254
"497",0,1716.2,100.7,17.0427010923535
"498",15,866,137.2,6.31195335276968
"499",10,945.5,150.8,6.26989389920424
"500",4,465.1,110.9,4.19386834986474
"501",0,308.2,122.7,2.5118174409128
"502",12,2223,142.6,15.5890603085554
"503",1,0.1,64.7,0.00154559505409583
"504",0,1140.3,69,16.5260869565217
"505",4,430.5,138,3.1195652173913
"506",0,636.7,154.9,4.1103938024532
"507",11,688.7,172.5,3.99246376811594
"508",2,469.1,164.7,2.84820886460231
"509",14,1054.3,131.6,8.01139817629179
"510",1,519.3,144.2,3.60124826629681
"511",8,844.9,153.1,5.51861528412802
"512",0,491.4,124.6,3.9438202247191
"513",0,762.3,67.4,11.3100890207715
"514",2,1067.6,137.4,7.77001455604076
"515",1,1104.8,146.8,7.52588555858311
"516",3,257.5,119.9,2.14762301918265
"517",4,528.2,106.8,4.94569288389513
"518",0,277.3,134.5,2.06171003717472
"519",0,4884.3,155.5,31.4102893890675
"520",0,1010.1,131.7,7.66970387243736
"521",0,2119.7,146.6,14.4590723055935
"522",4,2398.3,148.2,16.1828609986505
"523",1,1222.9,116.9,10.4610778443114
"524",6,328.5,115,2.85652173913043
"525",1,1168.1,105.5,11.0720379146919
"526",15,1280.2,133.2,9.61111111111111
"527",3,845.1,152.5,5.5416393442623
"528",0,551.3,133.5,4.12958801498127
"529",4,1828.4,149.4,12.2382864792503
"530",2,606.5,146.1,4.15126625598905
"531",12,222.3,124.9,1.77982385908727
"532",1,776.9,127.2,6.10770440251572
"533",0,1584.2,140.3,11.2915181753386
"534",1,591.2,142.6,4.14586255259467
"535",0,858.3,109.9,7.8098271155596
